Date,Amazon,Facebook
1/4/2016,636.98999,102.220001
1/5/2016,633.789978,102.730003
1/6/2016,632.650024,102.970001
1/7/2016,607.940002,97.919998
1/8/2016,607.049988,97.330002
1/11/2016,617.73999,97.510002
1/12/2016,617.890015,99.370003
1/13/2016,581.809998,95.440002
1/14/2016,593,98.370003
1/15/2016,570.179993,94.970001
1/19/2016,574.47998,95.260002
1/20/2016,571.77002,94.349998
1/21/2016,575.02002,94.160004
1/22/2016,596.380005,97.940002
1/25/2016,596.530029,97.010002
1/26/2016,601.25,97.339996
1/27/2016,583.349976,94.449997
1/28/2016,635.349976,109.110001
1/29/2016,587,112.209999
2/1/2016,574.809998,115.089996
2/2/2016,552.099976,114.610001
2/3/2016,531.070007,112.690002
2/4/2016,536.26001,110.489998
2/5/2016,502.130005,104.07
2/8/2016,488.100006,99.75
2/9/2016,482.070007,99.540001
2/10/2016,490.480011,101
2/11/2016,503.820007,101.910004
2/12/2016,507.079987,102.010002
2/16/2016,521.099976,101.610001
2/17/2016,534.099976,105.199997
2/18/2016,525,103.470001
2/19/2016,534.900024,104.57
2/22/2016,559.5,107.160004
2/23/2016,552.940002,105.459999
2/24/2016,554.039978,106.879997
2/25/2016,555.150024,108.07
2/26/2016,555.22998,107.919998
2/29/2016,552.52002,106.919998
3/1/2016,579.039978,109.82
3/2/2016,580.210022,109.949997
3/3/2016,577.48999,109.580002
3/4/2016,575.140015,108.389999
3/7/2016,562.799988,105.730003
3/8/2016,560.26001,105.93
3/9/2016,559.469971,107.510002
3/10/2016,558.929993,107.32
3/11/2016,569.609985,109.410004
3/14/2016,573.369995,109.889999
3/15/2016,577.02002,110.669998
3/16/2016,574.27002,112.18
3/17/2016,559.440002,111.019997
3/18/2016,552.080017,111.449997
3/21/2016,553.97998,111.849998
3/22/2016,560.47998,112.25
3/23/2016,569.630005,112.540001
3/24/2016,582.950012,113.050003
3/28/2016,579.869995,113.690002
3/29/2016,593.859985,116.139999
3/30/2016,598.690002,114.699997
3/31/2016,593.640015,114.099998
4/1/2016,598.5,116.059998
4/4/2016,593.190002,112.550003
4/5/2016,586.140015,112.220001
4/6/2016,602.080017,113.709999
4/7/2016,591.429993,113.639999
4/8/2016,594.599976,110.629997
4/11/2016,595.929993,108.989998
4/12/2016,603.169983,110.610001
4/13/2016,614.820007,110.510002
4/14/2016,620.75,110.839996
4/15/2016,625.890015,109.639999
4/18/2016,635.349976,110.449997
4/19/2016,627.900024,112.290001
4/20/2016,632.98999,112.419998
4/21/2016,631,113.440002
4/22/2016,620.5,110.559998
4/25/2016,626.200012,110.099998
4/26/2016,616.880005,108.760002
4/27/2016,606.570007,108.889999
4/28/2016,602,116.730003
4/29/2016,659.590027,117.580002
5/2/2016,683.849976,118.57
5/3/2016,671.320007,117.43
5/4/2016,670.900024,118.059998
5/5/2016,659.090027,117.809998
5/6/2016,673.950012,119.489998
5/9/2016,679.75,119.239998
5/10/2016,703.070007,120.5
5/11/2016,713.22998,119.519997
5/12/2016,717.929993,120.279999
5/13/2016,709.919983,119.809998
5/16/2016,710.659973,118.669998
5/17/2016,695.27002,117.349998
5/18/2016,697.450012,117.650002
5/19/2016,698.52002,116.809998
5/20/2016,702.799988,117.349998
5/23/2016,696.75,115.970001
5/24/2016,704.200012,117.699997
5/25/2016,708.349976,117.889999
5/26/2016,714.909973,119.470001
5/27/2016,712.23999,119.379997
5/31/2016,722.789978,118.809998
6/1/2016,719.440002,118.779999
6/2/2016,728.23999,118.93
6/3/2016,725.539978,118.470001
6/6/2016,726.72998,118.790001
6/7/2016,723.73999,117.760002
6/8/2016,726.640015,118.389999
6/9/2016,727.650024,118.559998
6/10/2016,717.909973,116.620003
6/13/2016,715.23999,113.949997
6/14/2016,719.299988,114.940002
6/15/2016,714.26001,114.599998
6/16/2016,717.51001,114.389999
6/17/2016,706.390015,113.019997
6/20/2016,714.01001,113.370003
6/21/2016,715.820007,114.379997
6/22/2016,710.599976,113.910004
6/23/2016,722.080017,115.080002
6/24/2016,698.960022,112.080002
6/27/2016,691.359985,108.970001
6/28/2016,707.950012,112.699997
6/29/2016,715.599976,114.160004
6/30/2016,715.619995,114.279999
7/1/2016,725.679993,114.190002
7/5/2016,728.099976,114.199997
7/6/2016,737.609985,116.699997
7/7/2016,736.570007,115.849998
7/8/2016,745.809998,117.239998
7/11/2016,753.780029,117.870003
7/12/2016,748.210022,117.93
7/13/2016,742.630005,116.779999
7/14/2016,741.200012,117.290001
7/15/2016,735.440002,116.860001
7/18/2016,736.070007,119.370003
7/19/2016,739.950012,120.610001
7/20/2016,745.719971,121.919998
7/21/2016,744.429993,120.610001
7/22/2016,744.859985,121
7/25/2016,739.609985,121.629997
7/26/2016,735.590027,121.220001
7/27/2016,736.669983,123.339996
7/28/2016,752.609985,125
7/29/2016,758.809998,123.940002
8/1/2016,767.73999,124.309998
8/2/2016,760.580017,123.089996
8/3/2016,754.640015,122.510002
8/4/2016,760.77002,124.360001
8/5/2016,765.97998,125.150002
8/8/2016,766.559998,125.260002
8/9/2016,768.309998,125.059998
8/10/2016,768.559998,124.879997
8/11/2016,771.23999,124.900002
8/12/2016,772.559998,124.879997
8/15/2016,768.48999,123.900002
8/16/2016,764.039978,123.300003
8/17/2016,764.630005,124.370003
8/18/2016,764.460022,123.910004
8/19/2016,757.309998,123.559998
8/22/2016,759.47998,124.150002
8/23/2016,762.450012,124.370003
8/24/2016,757.25,123.480003
8/25/2016,759.219971,123.889999
8/26/2016,769,124.959999
8/29/2016,771.289978,126.540001
8/30/2016,767.580017,125.839996
8/31/2016,769.159973,126.120003
9/1/2016,770.619995,126.169998
9/2/2016,772.440002,126.510002
9/6/2016,788.869995,129.729996
9/7/2016,784.47998,131.050003
9/8/2016,784.059998,130.270004
9/9/2016,760.140015,127.099998
9/12/2016,771.48999,128.690002
9/13/2016,761.01001,127.209999
9/14/2016,761.090027,127.769997
9/15/2016,769.690002,128.350006
9/16/2016,778.52002,129.070007
9/19/2016,775.099976,128.649994
9/20/2016,780.219971,128.639999
9/21/2016,789.73999,129.940002
9/22/2016,804.700012,130.080002
9/23/2016,805.75,127.959999
9/26/2016,799.159973,127.309998
9/27/2016,816.109985,128.690002
9/28/2016,828.719971,129.229996
9/29/2016,829.049988,128.089996
9/30/2016,837.309998,128.270004
10/3/2016,836.73999,128.770004
10/4/2016,834.030029,128.190002
10/5/2016,844.359985,128.470001
10/6/2016,841.659973,128.740005
10/7/2016,839.429993,128.990005
10/10/2016,841.710022,130.240005
10/11/2016,831,128.880005
10/12/2016,834.090027,129.050003
10/13/2016,829.280029,127.82
10/14/2016,822.960022,127.879997
10/17/2016,812.950012,127.540001
10/18/2016,817.650024,128.570007
10/19/2016,817.690002,130.110001
10/20/2016,810.320007,130
10/21/2016,818.98999,132.070007
10/24/2016,838.090027,133.279999
10/25/2016,835.179993,132.289993
10/26/2016,822.590027,131.039993
10/27/2016,818.359985,129.690002
10/28/2016,776.320007,131.289993
10/31/2016,789.820007,130.990005
11/1/2016,785.409973,129.5
11/2/2016,765.559998,127.169998
11/3/2016,767.030029,120
11/4/2016,755.049988,120.75
11/7/2016,784.929993,122.150002
11/8/2016,787.75,124.220001
11/9/2016,771.880005,123.18
11/10/2016,742.380005,120.800003
11/11/2016,739.01001,119.019997
11/14/2016,719.070007,115.080002
11/15/2016,743.23999,117.199997
11/16/2016,746.48999,116.339996
11/17/2016,756.400024,117.790001
11/18/2016,760.159973,117.019997
11/21/2016,780,121.769997
11/22/2016,785.330017,121.470001
11/23/2016,780.119995,120.839996
11/25/2016,780.369995,120.379997
11/28/2016,766.77002,120.410004
11/29/2016,762.52002,120.870003
11/30/2016,750.570007,118.419998
12/1/2016,743.650024,115.099998
12/2/2016,740.340027,115.400002
12/5/2016,759.359985,117.43
12/6/2016,764.719971,117.309998
12/7/2016,770.419983,117.949997
12/8/2016,767.330017,118.910004
12/9/2016,768.659973,119.68
12/12/2016,760.119995,117.769997
12/13/2016,774.340027,120.309998
12/14/2016,768.820007,120.209999
12/15/2016,761,120.57
12/16/2016,757.77002,119.870003
12/19/2016,766,119.239998
12/20/2016,771.219971,119.089996
12/21/2016,770.599976,119.040001
12/22/2016,766.340027,117.400002
12/23/2016,760.590027,117.269997
12/27/2016,771.400024,118.010002
12/28/2016,772.130005,116.919998
12/29/2016,765.150024,116.349998
12/30/2016,749.869995,115.050003
